corpus,bytes,arm,threads,rep,wall_s
squishy,400391411,gz,1,4,0.559940
squishy,400391411,gz2,1,4,0.564731
squishy,400391411,rg,1,4,1.179016
squishy,400391411,ld,1,4,0.459759
squishy,400391411,gz,1,5,0.559766
squishy,400391411,gz2,1,5,0.563001
squishy,400391411,rg,1,5,1.176520
squishy,400391411,ld,1,5,0.461880
squishy,400391411,gz,1,6,0.554042
squishy,400391411,gz2,1,6,0.559912
squishy,400391411,rg,1,6,1.179351
squishy,400391411,ld,1,6,0.454850
squishy,400391411,gz,1,7,0.561889
squishy,400391411,gz2,1,7,0.555109
squishy,400391411,rg,1,7,1.180243
squishy,400391411,ld,1,7,0.477095
squishy,400391411,gz,1,8,0.566227
squishy,400391411,gz2,1,8,0.566421
squishy,400391411,rg,1,8,1.194115
squishy,400391411,ld,1,8,0.488058
squishy,400391411,gz,1,9,0.562818
squishy,400391411,gz2,1,9,0.566184
squishy,400391411,rg,1,9,1.180897
squishy,400391411,ld,1,9,0.449727
squishy,400391411,gz,1,10,0.558520
squishy,400391411,gz2,1,10,0.564439
squishy,400391411,rg,1,10,1.201925
squishy,400391411,ld,1,10,0.460376
squishy,400391411,gz,1,11,0.565307
squishy,400391411,gz2,1,11,0.559157
squishy,400391411,rg,1,11,1.189146
squishy,400391411,ld,1,11,0.465016
squishy,400391411,gz,1,12,0.563532
squishy,400391411,gz2,1,12,0.566535
squishy,400391411,rg,1,12,1.193651
squishy,400391411,ld,1,12,0.467454
squishy,400391411,gz,1,13,0.564713
squishy,400391411,gz2,1,13,0.563342
